Date,Close,High,Low,Open,Volume
1/3/2017,4,4.11,3.9,4.1,3497700
1/4/2017,4.09,4.25,3.97,4,7940100
1/5/2017,3.8,4.18,3.71,4.12,7732300
1/6/2017,3.6,3.81,3.46,3.8,7743200
1/9/2017,3.67,4.86,3.62,4.8,34775900
1/10/2017,3.4,3.59,3.3,3.59,13831800
1/11/2017,3.29,3.54,3.24,3.39,16645200
1/12/2017,3.27,3.35,3.21,3.22,3966700
1/13/2017,3.21,3.33,3.16,3.29,3991600
1/17/2017,3.05,3.24,3.03,3.21,3925400
1/18/2017,2.99,3.12,2.96,3.11,3822800
1/19/2017,3.05,3.15,2.96,2.97,3621400
1/20/2017,3,3.08,2.98,3.05,2873100
1/23/2017,2.98,3.03,2.83,2.98,4129300
1/24/2017,3.1,3.13,2.89,2.98,2806900
1/25/2017,3.2,3.23,3.06,3.11,2727200
1/26/2017,3.02,3.24,3.01,3.22,2233700
1/27/2017,3.08,3.11,3,3,1409700
1/30/2017,3.06,3.11,3.01,3.06,1665900
1/31/2017,3.11,3.14,3,3.03,2799800
2/1/2017,3.08,3.14,3.04,3.12,1744700
2/2/2017,3.05,3.1,3.02,3.07,1366400
2/3/2017,3.14,3.15,3.04,3.06,1375100
2/6/2017,3.17,3.19,3.1,3.13,1345900
2/7/2017,3.22,3.36,3.16,3.18,2377500
2/8/2017,3.13,3.21,3.06,3.2,1534700
2/9/2017,3.23,3.25,3.13,3.13,1020300
2/10/2017,3.24,3.32,3.21,3.25,1057500
2/13/2017,3.19,3.3,3.16,3.26,834800
2/14/2017,3.23,3.25,3.16,3.16,1006200
2/15/2017,3.24,3.28,3.17,3.22,1773400
2/16/2017,3.19,3.26,3.16,3.24,1399800
2/17/2017,3.18,3.23,3.15,3.19,1119300
2/21/2017,3.16,3.2,3.12,3.16,1638200
2/22/2017,3.1,3.18,3.1,3.15,1629400
2/23/2017,3.06,3.13,3.03,3.1,1845500
2/24/2017,3.01,3.09,3,3.05,1322100
2/27/2017,3.16,3.17,3,3,2146400
2/28/2017,3.07,3.18,3.06,3.12,1460100
3/1/2017,2.98,3.15,2.9,3.15,5336500
3/2/2017,3.06,3.1,2.95,2.95,2247600
3/3/2017,3.1,3.1,3.02,3.07,1620200
3/6/2017,3.23,3.28,3.06,3.1,2356000
3/7/2017,3.06,3.25,3.06,3.24,1344700
3/8/2017,3.09,3.16,3.05,3.08,1187200
3/9/2017,3.09,3.14,3.05,3.1,962400
3/10/2017,3.15,3.17,3.04,3.11,1651900
3/13/2017,3.15,3.18,3.09,3.16,1240500
3/14/2017,3.11,3.15,3.08,3.12,1305400
3/15/2017,3.21,3.24,3.11,3.12,1859100
3/16/2017,3.33,3.44,3.18,3.2,4558500
3/17/2017,3.21,3.36,3.16,3.28,5462400
3/20/2017,3.21,3.25,3.13,3.18,1282200
3/21/2017,3.02,3.24,3.02,3.23,2501000
3/22/2017,3.06,3.08,2.96,3.02,1924200
3/23/2017,3.02,3.08,3.02,3.07,1257400
3/24/2017,3.01,3.06,2.96,3.03,2157000
3/27/2017,3.06,3.08,2.96,2.99,2704500
3/28/2017,3.01,3.08,2.99,3.05,1783000
3/29/2017,3.04,3.05,2.98,3.01,1949300
3/30/2017,3.06,3.13,2.99,3.04,3210300
3/31/2017,3.08,3.1,3.04,3.05,1200300
4/3/2017,3.21,3.34,3.07,3.1,4547700
4/4/2017,3.24,3.37,3.23,3.25,2789600
4/5/2017,3.13,3.36,3.11,3.3,2734200
4/6/2017,3.23,3.39,3.12,3.35,3631300
4/7/2017,3.08,3.25,3.07,3.25,2039800
4/10/2017,3.04,3.11,3.03,3.1,1718300
4/11/2017,3.05,3.08,3,3.03,1436100
4/12/2017,3.02,3.08,3.01,3.06,1198300
4/13/2017,3.11,3.12,3,3.03,2246800
4/17/2017,3.15,3.21,3.1,3.13,1325700
4/18/2017,3.16,3.17,3.08,3.14,891100
4/19/2017,3.16,3.27,3.15,3.17,1441200
4/20/2017,3.16,3.23,3.11,3.17,1123700
4/21/2017,3.12,3.19,3.12,3.16,810900
